H_DNG_CD,M00,M10,M20,M30,M40,M50,M60,M70,F00,F10,F20,F30,F40,F50,F60,F70,SIDO_NM,SGG_NM,ADMI_NM
11680580,66.16,855.03,3201.02,5689.63,5012.03,4093.63,2137.31,1240.26,104.55,959.38,4796.3,5706.46,3964.09,3010.43,1982.9,1414.79,서울특별시,강남구,삼성1동
11680590,111.68,1667.02,2461.97,3779.13,3964.43,3614.13,1959.69,1747.71,154.23,1164.35,3233.48,4157.52,4301.29,3360.25,2012.91,2112.09,서울특별시,강남구,삼성2동
11680600,241.52,4566.76,1376.35,938.96,2422.87,2438.13,1269.9,1196.48,375.47,3750.66,1464.73,1338.79,3750.46,2578.47,1632.72,1446.6,서울특별시,강남구,대치1동
11680610,253.63,4754.62,2844.3,4059.56,5201.49,4479.16,2607.98,2110.75,318.25,3089.94,3255.31,3696.79,5341.94,3809.18,2856.38,2289.17,서울특별시,강남구,대치2동
11680630,136.95,3592.22,2860.8,3924.09,3638.93,3481.38,1653.21,1137.52,137.15,3580.08,3289.59,3475.56,3716.96,3198.17,1744.94,1440.2,서울특별시,강남구,대치4동
11680640,70.43,1561.19,10087.64,16202.77,12115.88,8420.77,4355.17,2464.49,101.17,1861.32,14545.13,14612.23,7983.16,5208.28,3674.75,2683.46,서울특별시,강남구,역삼1동
11680650,162.75,2450.32,2893.41,4078.79,5108.47,4478.17,2089.59,1689.9,311.96,2868.05,4002.95,4205.24,5704.18,3941.94,2056.21,2171.2,서울특별시,강남구,역삼2동
11680655,139.82,1255.5,1775.45,2664.81,2957.78,2726.6,1821.26,1472.83,281.85,1626.51,2315.33,2753.78,2903.04,2472.69,2054.61,1727.3,서울특별시,강남구,도곡1동
11680656,193.81,1504.34,1245.41,1577.69,2880.65,2901.03,1620.28,1443.13,286.06,2029.57,1507.85,2254.6,3758.98,2999.36,2340.48,2023.6,서울특별시,강남구,도곡2동
11680660,266.57,1753.15,1146.7,1357.01,2110.18,2040.65,1720.59,1538.05,400.78,1868.96,1189.03,1796.53,2814.99,2243.34,2131.02,1796.1,서울특별시,강남구,개포1동
11680670,239.17,2278.4,1723.78,2464.16,3047.68,2924.12,2331.94,1981.87,314.73,2409.38,1654.61,3050.89,4044.56,3490.58,2894.81,2300.11,서울특별시,강남구,개포2동
11680675,98.2,1161.92,764.81,1389.46,1495.29,1433.95,1061.09,1059.18,100.95,704.02,778.95,1432.01,1706.15,1397.98,1366.97,1147.05,서울특별시,강남구,개포3동
11680690,137.43,913.3,1343.74,1819.71,1940.94,2078.54,1687.15,1311.32,134.09,1230.53,1390.45,1956.23,2120.42,2250.9,1983.25,1557.13,서울특별시,강남구,개포4동
11680700,352.48,2491.56,2351.83,3528.24,3790.45,3337.67,2918.02,2688.16,440.67,2585.6,3003.24,4267.46,4404.59,3699.03,3486.81,3610.48,서울특별시,강남구,세곡동
11680720,170.17,1887.99,1246.88,1533.23,2152.85,2110.56,1871.92,1565.53,205.3,1192.9,1607.98,1894.75,2814.98,2563.23,2417.91,1809.13,서울특별시,강남구,일원본동
11680730,92.67,589.21,992.55,1286.31,1253.95,1300.0,1432.72,1314.26,73.98,442.22,1023.29,1209.56,1224.09,1344.2,1687.97,1372.1,서울특별시,강남구,일원1동
11680750,42.23,433.05,1075.46,1958.67,1946.28,1889.45,2149.84,2025.42,43.27,476.27,1372.52,2010.48,1544.61,1756.86,2452.17,2890.79,서울특별시,강남구,수서동
11710510,40.33,323.19,552.43,728.04,705.58,907.9,1016.62,885.38,44.99,287.48,504.74,709.33,679.02,937.67,1190.1,1161.09,서울특별시,송파구,풍납1동
11710520,157.2,979.2,1561.84,2397.35,2434.43,2657.01,2418.91,2034.6,179.93,986.86,2462.1,3013.62,3126.27,3142.86,2788.56,2341.47,서울특별시,송파구,풍납2동
11710531,67.03,417.54,682.9,748.52,725.89,995.2,996.35,826.04,80.84,373.63,628.91,668.56,667.02,1076.45,1061.99,1051.7,서울특별시,송파구,거여1동
11710532,134.25,708.68,1079.05,1729.66,1769.64,1569.81,1793.0,1392.17,179.83,709.47,1053.09,1879.2,1606.88,1987.03,2182.94,1911.55,서울특별시,송파구,거여2동
11710540,54.83,520.35,657.76,848.25,861.01,1286.2,975.26,957.52,102.19,401.95,603.2,675.98,732.12,1256.53,1454.17,1209.98,서울특별시,송파구,마천1동
11710550,77.14,509.39,954.32,1149.26,1156.82,1592.41,1938.65,1575.62,80.26,422.23,728.88,848.85,978.77,1703.27,2044.01,1895.73,서울특별시,송파구,마천2동
11710561,115.76,1260.26,1091.92,1298.44,1316.87,1334.6,1250.56,945.18,168.51,1302.0,1125.06,1340.52,1549.75,1605.05,1445.02,1132.65,서울특별시,송파구,방이1동
11710562,67.95,848.96,3201.11,4200.17,2783.65,2356.33,1953.95,1499.59,120.04,747.33,4047.9,4312.59,2468.34,2327.97,2102.36,1734.83,서울특별시,송파구,방이2동
11710566,98.42,1086.99,1299.43,1242.87,1346.4,1284.22,1452.4,1194.43,109.6,1041.17,1674.18,1601.11,1761.78,1653.59,1687.58,1397.05,서울특별시,송파구,오륜동
11710570,216.65,2044.47,2152.08,2582.21,2661.25,3146.1,3102.26,2460.17,242.06,1629.28,2022.46,2610.32,2842.29,3668.66,3636.73,3005.55,서울특별시,송파구,오금동
11710580,48.42,663.65,2123.79,3222.2,1903.34,1740.34,1709.23,1445.0,97.29,970.81,2899.45,3285.61,2080.5,2204.61,2077.72,1745.52,서울특별시,송파구,송파1동
11710590,123.61,883.89,972.44,1318.04,1415.22,1337.96,1350.53,1112.88,141.03,1152.62,1119.43,1492.39,1638.99,1637.69,1671.32,1152.79,서울특별시,송파구,송파2동
11710600,97.02,811.82,2212.69,3601.02,2572.52,2399.96,2175.27,1764.91,165.69,892.61,2770.4,3596.6,2583.02,2601.23,2594.96,1961.13,서울특별시,송파구,석촌동
11710610,81.36,1070.47,1806.94,2970.34,2175.66,2045.25,1698.06,1391.31,110.4,757.71,2239.97,3148.95,2314.68,2174.74,2105.89,1860.04,서울특별시,송파구,삼전동
11710620,141.57,927.59,2326.58,3681.48,3196.43,3194.43,2891.21,1865.7,181.73,915.29,2408.14,3288.57,2731.76,3160.94,3002.2,2019.52,서울특별시,송파구,가락본동
11710631,203.77,1148.85,1295.32,2345.35,2821.5,2321.88,2290.99,1663.18,294.59,1332.95,1404.17,2680.83,2915.78,2379.45,2541.71,1836.86,서울특별시,송파구,가락1동
11710632,128.69,1166.64,1713.54,2232.71,2010.65,2058.47,2156.01,1696.69,159.04,1099.63,1710.96,2305.52,2017.16,2576.66,2671.11,1928.38,서울특별시,송파구,가락2동
