TT,H_DNG_CD,SPOP,SIDO_NM,SGG_NM,ADMI_NM
19,11650652,40441.86,서울특별시,서초구,양재2동
19,11650660,20283.4,서울특별시,서초구,내곡동
19,11680510,39257.44,서울특별시,강남구,신사동
19,11680521,45773.64,서울특별시,강남구,논현1동
19,11680531,44968.43,서울특별시,강남구,논현2동
19,11680545,49775.74,서울특별시,강남구,압구정동
19,11680565,41482.05,서울특별시,강남구,청담동
19,11680580,49955.27,서울특별시,강남구,삼성1동
19,11680590,38986.83,서울특별시,강남구,삼성2동
19,11680600,33627.81,서울특별시,강남구,대치1동
19,11680610,52859.41,서울특별시,강남구,대치2동
19,11680630,50811.51,서울특별시,강남구,대치4동
19,11680640,128463.59,서울특별시,강남구,역삼1동
19,11680650,45638.72,서울특별시,강남구,역삼2동
19,11680655,30699.07,서울특별시,강남구,도곡1동
19,11680656,29118.01,서울특별시,강남구,도곡2동
19,11680660,23987.05,서울특별시,강남구,개포1동
19,11680670,34765.61,서울특별시,강남구,개포2동
19,11680675,15578.88,서울특별시,강남구,개포3동
19,11680690,23078.03,서울특별시,강남구,개포4동
19,11680700,44455.81,서울특별시,강남구,세곡동
19,11680720,24271.33,서울특별시,강남구,일원본동
19,11680730,16868.34,서울특별시,강남구,일원1동
19,11680750,25076.95,서울특별시,강남구,수서동
19,11710510,10507.16,서울특별시,송파구,풍납1동
19,11710520,28465.22,서울특별시,송파구,풍납2동
19,11710531,11137.91,서울특별시,송파구,거여1동
19,11710532,21218.61,서울특별시,송파구,거여2동
19,11710540,12137.71,서울특별시,송파구,마천1동
19,11710550,17707.28,서울특별시,송파구,마천2동
19,11710561,21505.94,서울특별시,송파구,방이1동
19,11710562,40893.54,서울특별시,송파구,방이2동
19,11710566,23386.34,서울특별시,송파구,오륜동
19,11710570,36825.61,서울특별시,송파구,오금동
19,11710580,30953.4,서울특별시,송파구,송파1동
19,11710590,17561.04,서울특별시,송파구,송파2동
19,11710600,33605.8,서울특별시,송파구,석촌동
19,11710610,26581.19,서울특별시,송파구,삼전동
19,11710620,36439.85,서울특별시,송파구,가락본동
19,11710631,28420.24,서울특별시,송파구,가락1동
19,11710632,27050.41,서울특별시,송파구,가락2동
19,11710641,21615.17,서울특별시,송파구,문정1동
19,11710642,46136.95,서울특별시,송파구,문정2동
19,11710646,29477.61,서울특별시,송파구,장지동
19,11710647,40850.44,서울특별시,송파구,위례동
19,11710650,35520.02,서울특별시,송파구,잠실본동
19,11710670,39300.53,서울특별시,송파구,잠실2동
19,11710680,55084.71,서울특별시,송파구,잠실3동
19,11710690,19940.47,서울특별시,송파구,잠실4동
19,11710710,49649.29,서울특별시,송파구,잠실6동
19,11710720,12150.88,서울특별시,송파구,잠실7동
19,11740515,34335.78,서울특별시,강동구,강일동
19,11740525,40051.43,서울특별시,강동구,상일1동
